Symbol,Name,Last,Change,%Chg,"Options Vol","Imp Vol","IV Rank","IV Pctl","IV 1Yr High",Time
MPW,"Medical Properties Trust",3.41,0.13,+3.96%,28122,101.54%,86.33%,97%,110.32%,2024-01-25
BE,"Bloom Energy Corp Cl A",12.47,0.6,+5.05%,4622,77.49%,85.69%,95%,82.55%,2024-01-25
RUM,"Rumble Inc",5.41,-0.27,-4.75%,25103,139.98%,85.25%,99%,155.34%,2024-01-25
SBUX,"Starbucks Corp",92.61,0.57,+0.62%,34314,30.57%,82.27%,87%,34.17%,2024-01-25
FTNT,"Fortinet Inc",65.55,-0.56,-0.85%,12990,48.97%,82.05%,92%,54.33%,2024-01-25
MANU,"Manchester United Ltd",19.48,-0.08,-0.41%,7441,132.07%,81.09%,93%,156.88%,2024-01-25
LMND,"Lemonade Inc",16.66,-0.18,-1.07%,4353,89.32%,81.08%,90%,98.71%,2024-01-25
UPS,"United Parcel Service",159.71,3.13,+2.00%,12795,31.14%,80.95%,84%,35.16%,2024-01-25
PYPL,"Paypal Holdings",60.71,-2.31,-3.67%,658927,50.84%,80.72%,87%,57.15%,2024-01-25
CI,"The Cigna Group",298.57,-5.93,-1.95%,7687,29.18%,80.57%,87%,31.61%,2024-01-25
PTCT,"Ptc Therapeutics",26.66,-0.55,-2.02%,12079,135.19%,79.64%,98%,165.94%,2024-01-25
TTD,"Trade Desk Inc",69.12,-0.53,-0.76%,15937,67.12%,78.82%,87%,79.10%,2024-01-25
CHTR,"Charter Communications Inc",369.07,-2.32,-0.62%,4642,39.30%,77.61%,90%,43.60%,2024-01-25
TMO,"Thermo Fisher Scientific Inc",538.21,-1.78,-0.33%,5739,27.82%,77.01%,87%,31.76%,2024-01-25
WDC,"Western Digital Cp",60.33,2.3,+3.96%,128272,43.75%,76.67%,74%,53.91%,2024-01-25
MOS,"Mosaic Company",32.05,0.09,+0.28%,7367,38.63%,76.39%,42%,48.02%,2024-01-25
BOWL,"Bowlero Corp Cl A",12.23,0.55,+4.71%,3024,95.03%,76.13%,93%,113.14%,2024-01-25
CCJ,"Cameco Corp",45.98,-1.46,-3.08%,45142,47.84%,74.95%,90%,52.98%,2024-01-25
BA,"Boeing Company",201.88,-12.25,-5.72%,447914,35.88%,73.65%,89%,40.76%,2024-01-25
MP,"Mp Materials Corp",15.8,-0.24,-1.50%,3223,57.29%,73.64%,76%,63.50%,2024-01-25
LLY,"Eli Lilly and Company",627.62,-6.08,-0.96%,21569,33.47%,73.54%,87%,38.67%,2024-01-25
HOOD,"Robinhood Markets Inc Cl A",10.7,-0.11,-1.02%,36725,65.60%,72.64%,86%,76.98%,2024-01-25
EXPE,"Expedia Group Inc",152.3,3.73,+2.51%,6291,47.49%,72.02%,82%,55.30%,2024-01-25
SPOT,"Spotify Technology S.A.",214.18,3.04,+1.44%,10193,51.78%,72.02%,79%,63.43%,2024-01-25
ANET,"Arista Networks Inc",264.42,1.95,+0.74%,10451,49.55%,71.69%,91%,58.47%,2024-01-25
MTCH,"Match Group Inc",38.05,1.11,+3.00%,35871,53.63%,71.65%,88%,64.12%,2024-01-25
W,"Wayfair Inc",54.89,0.12,+0.22%,17033,93.64%,71.46%,76%,108.51%,2024-01-25
TKO,"Tko Group Holdings Inc Cl A",87.51,-0.4,-0.46%,4427,33.17%,71.43%,46%,41.28%,2024-01-25
SPWR,"Sunpower Corp",3.28,0.07,+2.18%,21130,165.82%,71.43%,97%,209.82%,2024-01-25
PFE,"Pfizer Inc",27.47,-0.86,-3.04%,187576,29.35%,71.38%,89%,33.73%,2024-01-25
UEC,"Uranium Energy",7.4,-0.34,-4.39%,7727,55.03%,71.29%,32%,76.19%,2024-01-25
ALGM,"Allegro Microsystems Inc",27.56,-0.99,-3.47%,13017,50.97%,71.29%,91%,57.86%,2024-01-25
CLS,"Celestica Inc",31.72,1.06,+3.46%,5411,67.09%,70.86%,96%,86.12%,2024-01-25
VFC,"V.F. Corp",17.05,0.24,+1.43%,6147,60.80%,70.21%,89%,70.63%,2024-01-25
ELF,"E.L.F. Beauty Inc",156.55,1.68,+1.08%,4478,67.33%,70.18%,92%,81.44%,2024-01-25
AG,"First Majestic Silver",4.87,0.06,+1.25%,5321,56.34%,70.14%,87%,62.43%,2024-01-25
DIS,"Walt Disney Company",94.86,1.36,+1.45%,82878,32.97%,69.91%,68%,38.65%,2024-01-25
CAH,"Cardinal Health",105.71,1.35,+1.29%,3842,26.32%,69.71%,75%,30.78%,2024-01-25
WYNN,"Wynn Resorts Ltd",96.41,2.12,+2.25%,16628,38.40%,69.57%,75%,44.42%,2024-01-25
PANW,"Palo Alto Networks Inc",340.19,-0.05,-0.01%,21149,44.35%,69.40%,86%,54.30%,2024-01-25
ATXS,"Astri Therapeutics Inc",9.85,1.35,+15.88%,20628,89.54%,69.32%,89%,116.21%,2024-01-25
PLUG,"Plug Power Inc",3.4,-0.07,-2.16%,102402,124.46%,69.21%,97%,153.96%,2024-01-25
MSFT,"Microsoft Corp",404.87,2.31,+0.57%,361742,27.31%,69.14%,62%,33.70%,2024-01-25
GEO,"Geo Group Inc",11.28,-0.54,-4.57%,10011,55.28%,69.14%,87%,66.08%,2024-01-25
CLX,"Clorox Company",144.15,4.42,+3.16%,6304,30.70%,68.96%,88%,37.43%,2024-01-25
NAT,"Nordic American Tanker Shipping Ltd",4.38,-0.04,-0.90%,3695,56.75%,68.95%,76%,69.70%,2024-01-25
PTON,"Peloton Interactive Inc",5.8,0.11,+1.93%,13655,100.69%,68.94%,81%,115.37%,2024-01-25
DWAC,"Digital World Acquisition Corp Cl A",34.91,-3.24,-8.49%,81872,164.04%,68.61%,98%,238.49%,2024-01-25
ABR,"Arbor Realty Trust",13.62,0.06,+0.44%,14743,58.05%,68.40%,85%,74.11%,2024-01-25
AAP,"Advance Auto Parts Inc",66.13,0.69,+1.05%,3104,58.81%,67.99%,84%,73.69%,2024-01-25
BYND,"Beyond Meat Inc",7.05,0.2,+2.92%,10944,123.16%,67.89%,75%,151.11%,2024-01-25
ROKU,"Roku Inc",88.83,0.6,+0.68%,42560,79.41%,67.86%,86%,95.80%,2024-01-25
SABR,"Sabre Corp",4.48,0.14,+3.23%,3328,82.44%,67.82%,85%,95.59%,2024-01-25
LEVI,"Levi Strauss & Company Cl A",15.75,0.03,+0.19%,12014,44.79%,67.58%,90%,53.41%,2024-01-25
ETSY,"Etsy Inc",69.56,1.24,+1.81%,14273,62.05%,67.38%,76%,73.68%,2024-01-25
F,"Ford Motor Company",11.34,0.31,+2.81%,118130,38.38%,67.18%,75%,46.76%,2024-01-25
DBX,"Dropbox Inc",32.38,-0.02,-0.06%,6277,33.78%,66.98%,73%,39.98%,2024-01-25
DHR,"Danaher Corp",227.39,-1.22,-0.53%,24213,28.28%,66.66%,82%,33.28%,2024-01-25
GOEV,"Canoo Inc",0.1627,-0.0054,-3.21%,4166,432.23%,66.33%,96%,648.29%,2024-01-25
TOST,"Toast Inc Cl A",16.6,0.31,+1.90%,22832,65.48%,66.29%,77%,83.39%,2024-01-25
PENN,"Penn Entertainment Inc",23.81,0.34,+1.45%,4808,61.16%,66.06%,93%,73.80%,2024-01-25
NXPI,"Nxp Semiconductors",219.41,-2.28,-1.03%,2998,35.45%,65.73%,70%,42.08%,2024-01-25
AMGN,"Amgen Inc",310.26,4.76,+1.56%,6527,23.87%,65.28%,84%,27.77%,2024-01-25
MLCO,"Melco Resorts & Entertainment ADR",8.51,0.1,+1.19%,6322,69.51%,65.13%,96%,83.12%,2024-01-25
DDOG,"Datadog Inc Cl A",122.19,-0.39,-0.32%,53341,60.85%,65.10%,76%,76.20%,2024-01-25
LCID,"Lucid Group Inc",2.66,-0.16,-5.67%,106208,129.64%,64.94%,98%,170.13%,2024-01-25
CMG,"Chipotle Mexican Grill",2311.77,-23.03,-0.99%,4391,31.79%,64.89%,72%,40.52%,2024-01-25
PINS,"Pinterest Inc",36.99,0.47,+1.29%,15938,57.71%,64.86%,85%,74.24%,2024-01-25
THC,"Tenet Healthcare Corp",82.66,3.01,+3.78%,10969,50.16%,64.82%,89%,61.21%,2024-01-25
SHOP,"Shopify Inc",80.49,-0.24,-0.30%,51175,59.26%,64.77%,67%,71.62%,2024-01-25
GSK,"Gsk Plc ADR",38.84,-0.19,-0.49%,4595,23.07%,64.66%,82%,27.61%,2024-01-25
RUN,"Sunrun Inc",14.33,0.79,+5.83%,29333,98.16%,64.62%,90%,118.06%,2024-01-25
SNAP,"Snap Inc",16.29,-0.03,-0.18%,73685,90.58%,63.95%,88%,118.15%,2024-01-25
DAR,"Darling International Inc",43.83,1.54,+3.64%,4881,43.77%,63.89%,87%,52.11%,2024-01-25
MAT,"Mattel Inc",18.1,0.26,+1.46%,3267,42.13%,63.79%,86%,51.71%,2024-01-25
KLAC,"K L A-Tencor Corp",641.69,3.24,+0.51%,13459,36.70%,63.65%,67%,42.72%,2024-01-25
FSR,"Fisker Inc",0.75,-0.066,-8.09%,39913,174.68%,63.63%,96%,236.54%,2024-01-25
RBLX,"Roblox Corp Cl A",41.32,0.5,+1.22%,93302,69.62%,63.52%,67%,89.50%,2024-01-25
JD,"Jd.com Inc ADR",23.93,0.33,+1.40%,60733,49.78%,63.34%,72%,58.08%,2024-01-25
PARA,"Paramount Global Cl B",13.96,0.6,+4.49%,62243,58.69%,63.24%,79%,69.48%,2024-01-25
M,"Macy's Inc",18.82,0.68,+3.75%,26984,62.61%,62.58%,81%,78.96%,2024-01-25
RILY,"B. Riley Financl",20.28,0.05,+0.25%,9500,140.34%,62.33%,84%,198.60%,2024-01-25
EOG,"Eog Resources",114.85,2.76,+2.46%,5097,29.37%,62.28%,43%,45.30%,2024-01-25
SMCI,"Super Micro Computer",475.58,5.39,+1.15%,95231,81.20%,62.07%,80%,101.67%,2024-01-25
CLSK,"Cleanspark Inc",7.3,0.31,+4.43%,14080,128.18%,62.07%,69%,156.80%,2024-01-25
CAT,"Caterpillar Inc",300.77,10.09,+3.47%,38524,31.17%,61.78%,80%,37.70%,2024-01-25
EW,"Edwards Lifesciences Corp",73.55,1.01,+1.39%,5319,36.38%,61.55%,90%,46.47%,2024-01-25
WMT,"Walmart Inc",162.84,2.34,+1.46%,54153,20.36%,61.42%,74%,26.61%,2024-01-25
RIVN,"Rivian Automotive Inc Cl A",15,-0.34,-2.22%,199080,85.33%,61.41%,77%,102.83%,2024-01-25
DE,"Deere & Company",393.01,4.6,+1.18%,9790,29.49%,61.23%,70%,35.74%,2024-01-25
UNH,"Unitedhealth Group Inc",493.4,-19.83,-3.86%,94698,20.72%,61.23%,52%,27.00%,2024-01-25
CFLT,"Confluent Inc Cl A",22.53,0.26,+1.17%,3882,86.41%,61.07%,97%,111.47%,2024-01-25
ADM,"Archer Daniels Midland",51.38,-1.25,-2.38%,41119,36.43%,60.80%,99%,48.80%,2024-01-25
STEM,"Stem Inc",3.25,0.12,+3.83%,5179,105.79%,60.77%,94%,130.78%,2024-01-25
MRNA,"Moderna Inc",102.81,1.7,+1.68%,15019,56.82%,60.41%,90%,67.77%,2024-01-25
ALT,"Altimmune Inc",9.28,-0.07,-0.75%,7192,240.76%,59.97%,94%,356.79%,2024-01-25
NUE,"Nucor Corp",174.7,2.07,+1.20%,5807,32.52%,59.75%,48%,48.62%,2024-01-25
NTR,"Nutrien Ltd",50.52,-0.64,-1.25%,6130,34.68%,59.39%,54%,43.50%,2024-01-25
UBER,"Uber Technologies Inc",66,2.24,+3.51%,147049,46.16%,58.80%,69%,60.60%,2024-01-25
CVE,"Cenovus Energy Inc",15.85,0.41,+2.66%,9350,42.67%,58.47%,71%,54.40%,2024-01-25
PHUN,"Phunware Inc",0.3003,-0.0456,-13.18%,10601,633.99%,58.44%,93%,"1,083.74%",2024-01-25
MGM,"MGM Resorts International",43.62,0.76,+1.77%,8918,38.47%,58.34%,80%,48.01%,2024-01-25
HWM,"Howmet Aerospace Inc",55.27,-1.07,-1.90%,5794,29.18%,58.05%,78%,37.50%,2024-01-25
CVS,"CVS Corp",71.99,-2.2,-2.97%,68844,28.51%,57.95%,88%,35.29%,2024-01-25
TMUS,"T-Mobile US",162.56,0.56,+0.35%,61051,23.00%,57.74%,66%,29.64%,2024-01-25
VALE,"Vale S.A. ADR",13.85,-0.32,-2.26%,122206,35.56%,57.69%,47%,41.99%,2024-01-25
TXN,"Texas Instruments",167.42,-2.65,-1.56%,23948,22.06%,57.69%,12%,32.70%,2024-01-25
SPR,"Spirit Aerosystems Holdings",26.32,-2.25,-7.88%,8414,61.35%,57.16%,86%,77.27%,2024-01-25
NEM,"Newmont Mining Corp",34.49,0.05,+0.15%,22288,33.69%,57.09%,68%,40.44%,2024-01-25
APP,"Applovin Corp Cl A",44.07,0.76,+1.75%,2958,75.20%,56.91%,74%,104.37%,2024-01-25
LUMN,"Lumen Technologies Inc",1.38,0.03,+2.22%,32646,103.85%,56.72%,89%,142.65%,2024-01-25
MCD,"McDonald's Corp",297.21,-3.23,-1.08%,14047,17.56%,56.53%,78%,23.97%,2024-01-25
ALK,"Alaska Air Group",37.42,1.6,+4.47%,6279,36.53%,56.53%,72%,44.86%,2024-01-25
QCOM,"Qualcomm Inc",154.47,0.1,+0.06%,47570,34.67%,56.45%,61%,44.58%,2024-01-25
NIO,"Nio Inc ADR",6.04,-0.03,-0.49%,198600,76.97%,56.43%,85%,93.05%,2024-01-25
SAVE,"Spirit Airlines Inc",7.22,0.12,+1.69%,80916,174.02%,56.41%,86%,288.03%,2024-01-25
GOLD,"Barrick Gold Corp",15.59,0.06,+0.39%,12059,32.13%,55.95%,56%,38.58%,2024-01-25
TGTX,"Tg Therapeuticscmn",15.98,0.31,+1.98%,2970,115.46%,55.86%,85%,160.09%,2024-01-25
TOL,"Toll Brothers Inc",98.19,2.21,+2.30%,3303,33.69%,55.71%,58%,41.63%,2024-01-25
DCGO,"Docgo Inc.",3.54,-0.05,-1.39%,3091,128.79%,55.66%,94%,215.48%,2024-01-25
GILD,"Gilead Sciences Inc",80.23,0.7,+0.88%,13653,23.84%,55.49%,67%,29.79%,2024-01-25
LYFT,"Lyft Inc Cl A",12.57,0.11,+0.88%,28798,78.62%,55.37%,65%,100.84%,2024-01-25
IR,"Ingersoll Rand Inc",79.25,0.41,+0.52%,3211,26.94%,55.26%,55%,35.58%,2024-01-25
MA,"Mastercard Inc",436.8,-1.9,-0.43%,20386,20.88%,55.17%,59%,29.83%,2024-01-25
VSTO,"Vista Outdoor Inc",28.59,0.32,+1.13%,32577,41.62%,54.84%,68%,56.18%,2024-01-25
LHX,"L3Harris Technologies Inc",204.64,0.39,+0.19%,3484,25.63%,54.65%,86%,32.53%,2024-01-25
FANG,"Diamondback Energy",156.32,3.12,+2.04%,3529,29.29%,54.40%,42%,47.25%,2024-01-25
IP,"International Paper Company",37.65,1.47,+4.06%,3948,26.88%,54.36%,61%,33.56%,2024-01-25
TPR,"Tapestry Inc",38.26,0.72,+1.92%,6134,37.43%,54.28%,64%,52.58%,2024-01-25
PEP,"Pepsico Inc",166.56,0.96,+0.58%,12011,18.85%,54.07%,87%,25.97%,2024-01-25
UPST,"Upstart Holdings Inc",33.23,-0.44,-1.31%,74330,121.98%,53.92%,82%,166.97%,2024-01-25
CNC,"Centene Corp",73.55,-1.93,-2.56%,2924,30.46%,53.68%,74%,39.78%,2024-01-25
CSCO,"Cisco Systems Inc",52.33,1.02,+1.99%,75432,24.67%,53.63%,67%,34.15%,2024-01-25
PLTR,"Palantir Technologies Inc Cl A",16.46,-0.29,-1.73%,196645,72.53%,53.59%,80%,93.67%,2024-01-25
NCLH,"Norwegian Cruise Ord",17.75,0.24,+1.37%,14067,52.22%,53.55%,67%,68.57%,2024-01-25
JCI,"Johnson Controls Intl",55.7,0.68,+1.24%,9593,28.55%,53.48%,65%,36.66%,2024-01-25
AZN,"Astrazeneca Plc ADR",67.02,0.42,+0.63%,3018,25.10%,53.45%,73%,31.19%,2024-01-25
MPLX,"Mplx LP",37.76,0.39,+1.04%,2932,14.26%,53.39%,53%,19.89%,2024-01-25
META,"Meta Platforms Inc",393.18,2.48,+0.63%,276565,40.01%,53.24%,55%,59.63%,2024-01-25
NFE,"New Fortress Energy Llc",33.1,-0.03,-0.09%,7669,52.33%,53.09%,57%,68.43%,2024-01-25
NTES,"Netease Inc ADR",103.5,3.28,+3.27%,4243,43.30%,52.79%,89%,55.13%,2024-01-25
Z,"Zillow Group Cl C",55.09,0.75,+1.38%,3564,50.63%,52.78%,67%,64.94%,2024-01-25
VRT,"Vertiv Holdings Llc.",53.31,0.49,+0.93%,18715,58.74%,52.72%,78%,93.76%,2024-01-25
AON,"AON Plc",299.71,-4.35,-1.43%,3498,23.06%,52.52%,85%,30.62%,2024-01-25
WBD,"Discovery Inc Series A",10.58,0.17,+1.63%,38035,53.84%,52.43%,57%,67.25%,2024-01-25
ENTG,"Entegris Inc",123.43,0.24,+0.19%,14602,45.24%,52.33%,62%,59.60%,2024-01-25
ADI,"Analog Devices",197.3,-1,-0.50%,9381,28.03%,52.30%,51%,34.77%,2024-01-25
DKNG,"Draftkings Inc",38.69,0.23,+0.60%,52725,59.12%,52.30%,58%,79.28%,2024-01-25
TEAM,"Atlassian Corp",244.35,1.27,+0.52%,2965,56.15%,51.75%,56%,83.76%,2024-01-25
NVMI,"Nova Ltd",147.98,-1.06,-0.71%,3464,37.02%,51.57%,71%,48.38%,2024-01-25
SHLS,"Shoals Technologies Group Cl A",13.44,-0.11,-0.81%,4308,68.62%,51.23%,55%,86.27%,2024-01-25
LFST,"Lifestance Health Group Inc",6.48,-0.18,-2.70%,5455,112.07%,51.03%,92%,191.50%,2024-01-25
HEAR,"Turtle Beach Corp",11.81,0.15,+1.29%,3549,65.97%,50.97%,65%,85.16%,2024-01-25
NVT,"Nvent Electric Plc",58.38,0.52,+0.90%,3052,33.08%,50.87%,82%,44.96%,2024-01-25
TDOC,"Teladoc Health Inc",20.35,0.16,+0.79%,5400,66.39%,50.85%,70%,91.54%,2024-01-25
EBAY,"Ebay Inc",42.16,0.55,+1.32%,8476,32.21%,50.58%,69%,43.30%,2024-01-25
KURA,"Kura Oncology",18.73,-0.88,-4.49%,5767,98.34%,50.20%,89%,193.46%,2024-01-25
VIPS,"Vipshop Holdings Ltd ADR",15.95,-0.47,-2.86%,4753,48.69%,50.19%,75%,64.55%,2024-01-25
V,"Visa Inc",272.61,0.96,+0.35%,77518,19.19%,50.14%,47%,27.41%,2024-01-25
CAN,"Canaan Inc ADR",1.45,-0.1,-6.45%,3338,217.12%,49.96%,98%,401.53%,2024-01-25
MDT,"Medtronic Inc",85.79,1.07,+1.26%,7650,21.10%,49.92%,43%,31.11%,2024-01-25
IBM,"International Business Machines",190.43,16.5,+9.49%,367095,20.55%,49.82%,62%,28.36%,2024-01-25
BKNG,"Booking Holdings Inc",3503.25,6.5,+0.19%,5573,29.32%,49.70%,60%,38.69%,2024-01-25
GOOGL,"Alphabet Cl A",151.87,3.17,+2.13%,462371,30.70%,49.04%,60%,44.05%,2024-01-25
KHC,"Kraft Heinz Company",37.26,0.44,+1.19%,6391,22.52%,49.01%,80%,30.76%,2024-01-25
CYBR,"Cyberark Soft Ord",231.34,-0.38,-0.16%,6165,44.38%,48.99%,66%,59.47%,2024-01-25
RDFN,"Redfin Corp",8.41,0.21,+2.56%,4254,91.82%,48.68%,61%,128.13%,2024-01-25
GEL,"Genesis Energy LP",11.75,0.01,+0.09%,3477,37.83%,48.55%,36%,67.12%,2024-01-25
SQ,"Block Inc",62.71,0.14,+0.22%,111870,57.92%,48.42%,66%,80.15%,2024-01-25
CL,"Colgate-Palmolive Company",81.22,1.14,+1.42%,13861,17.40%,48.19%,61%,23.27%,2024-01-25
HDB,"Hdfc Bank Ltd ADR",56.43,1.63,+2.97%,11012,26.69%,48.04%,84%,40.79%,2024-01-25
AFRM,"Affirm Holdings Inc Cl A",40.71,0.22,+0.54%,51828,100.36%,47.99%,61%,138.42%,2024-01-25
JBLU,"Jetblue Airways Cp",5.34,0.27,+5.33%,47846,70.54%,47.92%,76%,109.44%,2024-01-25
PCAR,"Paccar Inc",102.01,1.18,+1.17%,3366,20.58%,47.86%,4%,34.08%,2024-01-25
AXP,"American Express Company",188.07,2.25,+1.21%,44396,27.16%,47.85%,76%,38.04%,2024-01-25
MRO,"Marathon Oil Corp",23.13,0.54,+2.39%,28117,36.95%,47.78%,45%,54.32%,2024-01-25
NVO,"Novo Nordisk A/S ADR",105.68,0.47,+0.45%,15534,32.31%,47.67%,78%,44.88%,2024-01-25
ABBV,"Abbvie Inc",165.13,0.91,+0.55%,12539,21.65%,47.64%,68%,28.31%,2024-01-25
TSM,"Taiwan Semiconductor ADR",116.56,0.04,+0.03%,89882,27.07%,47.37%,18%,39.39%,2024-01-25
GOOG,"Alphabet Cl C",153.64,3.29,+2.19%,198387,30.44%,47.19%,58%,42.59%,2024-01-25
RCL,"Royal Caribbean Cruises Ltd",127.71,2.22,+1.77%,5827,43.14%,47.12%,61%,57.49%,2024-01-25
WMB,"Williams Companies",34.44,0.41,+1.20%,6631,22.06%,47.10%,55%,31.83%,2024-01-25
NOVA,"Sunnova Energy International",10.55,0.26,+2.53%,3921,102.26%,47.09%,89%,142.87%,2024-01-25
ABNB,"Airbnb Inc Cl A",142.11,0.92,+0.65%,25851,44.39%,46.81%,60%,58.54%,2024-01-25
LUV,"Southwest Airlines Company",30.39,-0.72,-2.31%,72063,35.25%,46.81%,65%,46.81%,2024-01-25
MPC,"Marathon Petroleum Corp",157.27,2.17,+1.40%,15046,31.55%,46.72%,49%,44.21%,2024-01-25
AMAT,"Applied Materials",172.63,-1.51,-0.87%,41844,35.24%,46.67%,39%,44.88%,2024-01-25
LAC,"Lithium Americas Corp",4.62,-0.11,-2.33%,4084,78.49%,46.48%,94%,138.80%,2024-01-25
MO,"Altria Group",40.21,0.28,+0.70%,26143,18.25%,46.35%,59%,24.11%,2024-01-25
BMBL,"Bumble Inc",14.37,0.29,+2.06%,5254,61.02%,46.27%,64%,83.16%,2024-01-25
CHPT,"Chargepoint Hldgs Inc",1.96,-0.07,-3.45%,22294,109.70%,46.12%,90%,166.49%,2024-01-25
WRAP,"Wrap Technologies Inc",3.79,0.29,+8.29%,3014,112.06%,46.08%,78%,227.10%,2024-01-25
HUM,"Humana Inc",355.36,-47.04,-11.69%,79156,28.04%,45.93%,83%,40.95%,2024-01-25
BLNK,"Blink Charging Company",2.46,-0.07,-2.77%,7337,135.06%,45.62%,92%,214.54%,2024-01-25
STNG,"Scorpio Tankers Inc",68.75,-0.4,-0.58%,7156,44.07%,45.48%,37%,64.90%,2024-01-25
CRSP,"Crispr Therapeutics Ag",62.87,-0.14,-0.22%,10275,64.16%,45.37%,67%,96.14%,2024-01-25
LRCX,"Lam Research Corp",865.6,17.44,+2.06%,48940,31.15%,45.28%,11%,46.85%,2024-01-25
ENVX,"Enovix Corp",9.96,0.26,+2.68%,13171,87.36%,45.10%,63%,115.65%,2024-01-25
XEL,"XCEL Energy Inc",58.89,0.67,+1.15%,3560,22.03%,45.05%,77%,29.15%,2024-01-25
UBS,"UBS Group Ag ADR",29.69,0.19,+0.64%,3273,31.79%,44.99%,67%,62.20%,2024-01-25
O,"Realty Income Corp",55.42,0.43,+0.78%,4464,19.32%,44.95%,73%,27.07%,2024-01-25
BABA,"Alibaba Group Holding ADR",73.85,-1.35,-1.80%,220804,41.18%,44.34%,51%,53.20%,2024-01-25
HD,"Home Depot",350.97,3.7,+1.07%,11696,22.99%,44.32%,52%,32.88%,2024-01-25
TTWO,"Take-Two Interactive",168.5,2.6,+1.57%,2982,33.58%,44.31%,65%,48.76%,2024-01-25
MAR,"Marriot Int Cl A",242.52,4.65,+1.95%,4622,25.17%,44.28%,45%,37.49%,2024-01-25
URI,"United Rentals",651.64,74.74,+12.96%,18422,33.36%,44.09%,29%,49.98%,2024-01-25
DNN,"Denison Mines Corp",1.9,-0.07,-3.55%,4972,63.81%,43.79%,51%,109.34%,2024-01-25
BILI,"Bilibili Inc ADR",9.64,-0.37,-3.70%,15380,69.51%,43.77%,64%,94.05%,2024-01-25
BIDU,"Baidu Inc ADR",108.61,-2.01,-1.82%,20577,45.35%,43.63%,54%,60.67%,2024-01-25
NET,"Cloudflare Inc Cl A",81.86,-0.47,-0.57%,9563,62.88%,43.49%,55%,91.75%,2024-01-25
BEKE,"Ke Holdings Inc ADR",14.43,0.04,+0.28%,26009,42.49%,43.29%,15%,74.85%,2024-01-25
MELI,"Mercadolibre Inc",1738.8,-23.9,-1.36%,3559,43.22%,43.10%,56%,63.07%,2024-01-25
CGC,"Canopy Growth Corp",4.65,-0.11,-2.31%,5691,169.07%,43.07%,64%,314.09%,2024-01-25
PM,"Philip Morris International Inc",91.21,0.33,+0.36%,5815,18.57%,42.82%,49%,25.60%,2024-01-25
MDLZ,"Mondelez Intl Inc",74.5,0.55,+0.74%,4208,19.31%,42.78%,77%,28.30%,2024-01-25
DG,"Dollar General Corp",132.88,2.21,+1.69%,9403,33.58%,42.73%,68%,52.22%,2024-01-25
