Symbol,Name,Last,Change,%Chg,"Options Vol","Imp Vol","IV Rank","IV Pctl","IV 1Yr High",Time
NAIL,"Homebuild & Suppliers Bull 3X Direxion",100.57,5.85,+6.18%,943,73.75%,28.02%,36%,108.12%,2024-01-25
UCO,"Ultra Bloomberg Crude Oil 2X ETF",29.47,1.13,+3.99%,10607,54.52%,27.75%,21%,90.31%,2024-01-25
QYLD,"GX Nasdaq-100 Covered Call ETF",17.7,-0.01,-0.06%,409,7.94%,27.37%,10%,17.62%,2024-01-25
VNQ,"Real Estate Vanguard ETF",85.18,1.08,+1.28%,794,18.44%,27.20%,35%,29.49%,2024-01-25
GDXJ,"Vaneck Junior Gold Miners ETF",34.39,0.76,+2.26%,4369,32.90%,27.11%,24%,46.18%,2024-01-25
XLE,"S&P 500 Energy Sector SPDR",83.63,1.84,+2.25%,108875,22.55%,26.31%,35%,38.43%,2024-01-25
XLG,"S&P 500 Top 50 Invesco ETF",39.46,0.1,+0.25%,170,8.14%,26.31%,33%,29.83%,2024-01-25
BNO,"US Brent Oil",29.34,0.67,+2.34%,365,31.70%,26.24%,29%,49.99%,2024-01-25
DRV,"Real Estate Bear -3X Direxion",38.33,-1.49,-3.74%,492,56.21%,25.89%,41%,92.80%,2024-01-25
JEPI,"JPM Equity Premium Income ETF",55.88,0.24,+0.43%,329,7.11%,25.73%,37%,13.31%,2024-01-25
LQD,"Invst Grade Corp Bond Ishares Iboxx $ ETF",109.4,0.72,+0.66%,34404,9.46%,25.50%,36%,15.84%,2024-01-25
VIXY,"Proshares VIX Short-Term Futures ETF",14.59,0.17,+1.18%,4012,53.80%,25.37%,8%,150.54%,2024-01-25
MDY,"S&P Midcap 400 SPDR",503.99,3.18,+0.63%,173,16.58%,25.29%,31%,26.98%,2024-01-25
KRE,"S&P Regional Banking ETF SPDR",51.94,-0.32,-0.61%,95111,33.53%,24.60%,50%,82.80%,2024-01-25
TMF,"20+ Year Trsy Bull 3X Direxion ETF",54.52,0.92,+1.72%,9383,45.82%,24.59%,25%,76.14%,2024-01-25
XLC,"S&P 500 Communication Sector SPDR",77.43,1.24,+1.63%,2444,11.85%,24.40%,8%,43.68%,2024-01-25
JNUG,"Junior Gold Mine Bull 3X Direxion",27.58,1.13,+4.27%,1915,64.36%,24.22%,20%,90.72%,2024-01-25
FXE,"Euro Trust Currencyshares",100.17,-0.36,-0.36%,2167,6.92%,24.15%,52%,10.33%,2024-01-25
IJH,"S&P Midcap 400 Ishares Core ETF",275.27,1.73,+0.63%,462,16.46%,23.99%,31%,27.08%,2024-01-25
EDV,"Extended Dur Trs Idx ETF Vanguard",74.91,0.62,+0.83%,303,17.45%,23.96%,17%,32.97%,2024-01-25
VGT,"Information Technology ETF Vanguard",508.68,1.21,+0.24%,358,17.96%,23.93%,20%,29.40%,2024-01-25
HACK,"ETFMG Prime Cyber Security ETF",63.13,-0.03,-0.05%,366,17.18%,23.78%,20%,26.40%,2024-01-25
RSP,"S&P 500 EW Invesco ETF",157.48,1.57,+1.01%,4219,13.33%,23.24%,33%,23.22%,2024-01-25
SDY,"S&P Dividend SPDR",123.97,1.69,+1.38%,541,12.27%,23.17%,29%,20.10%,2024-01-25
FXY,"Japanese Yen Trust Currencyshares",62.8,-0.07,-0.11%,542,9.03%,22.62%,21%,14.65%,2024-01-25
NVDS,"Axs Nivida -1.25X Daily ETF",21.98,-0.12,-0.54%,358,50.33%,22.14%,22%,117.45%,2024-01-25
QID,"Ultrashort QQQ -2X ETF",9.83,-0.01,-0.10%,2106,34.35%,21.82%,24%,56.43%,2024-01-25
VYM,"High Dividend Yield Vanguard ETF",113.07,1.23,+1.10%,443,10.27%,21.45%,12%,18.86%,2024-01-25
MGK,"Vanguard Mega Cap Growth ETF",271.01,0.48,+0.18%,384,16.09%,21.44%,11%,27.52%,2024-01-25
TECL,"Technology Bull 3X Direxion",78.18,0.89,+1.15%,2398,52.67%,21.29%,24%,86.57%,2024-01-25
SCO,"Ultrashort Bloomberg Crude Oil -2X ETF",18.22,-0.77,-4.05%,986,55.47%,21.04%,22%,94.43%,2024-01-25
VGK,"Europe ETF FTSE Vanguard",63.36,0.29,+0.46%,481,14.56%,20.71%,27%,26.62%,2024-01-25
DVY,"Select Dividend Ishares ETF",116.48,1.63,+1.42%,234,12.54%,20.69%,22%,21.28%,2024-01-25
VUG,"Growth ETF Vanguard",323.42,0.76,+0.24%,233,16.14%,20.56%,24%,27.03%,2024-01-25
TBT,"Ultrashort Lehman 20 Year Treasury -2X ETF",33.77,-0.36,-1.05%,3771,30.77%,20.29%,19%,52.65%,2024-01-25
CPER,"US Copper",24.06,-0.04,-0.17%,172,17.77%,19.95%,17%,28.59%,2024-01-25
TLT,"20+ Year Treas Bond Ishares ETF",93.96,0.61,+0.65%,211003,15.35%,19.86%,20%,26.13%,2024-01-25
SDS,"Ultrashort S&P500 -2X ETF",28.61,-0.29,-1.00%,846,22.63%,19.79%,31%,48.82%,2024-01-25
IGV,"North American Tech-Software Ishares ETF",424.05,1.19,+0.28%,369,20.30%,19.65%,35%,32.22%,2024-01-25
QLD,"Ultra QQQ 2X ETF",81.85,0.16,+0.20%,1519,32.68%,19.59%,17%,55.73%,2024-01-25
TECS,"Technology Bear -3X Direxion",8.28,-0.1,-1.19%,865,52.37%,19.36%,16%,89.80%,2024-01-25
SCHD,"Schwab US Dividend Equity ETF",77.07,0.67,+0.88%,1111,10.71%,19.00%,18%,20.39%,2024-01-25
SARK,"Tuttle Capital Short Ark Innovation -1X ETF",29.64,0.27,+0.92%,294,38.49%,18.60%,38%,62.20%,2024-01-25
ARKK,"Ark Innovation ETF",45.82,-0.46,-0.99%,60156,37.90%,18.48%,34%,60.68%,2024-01-25
ARKW,"Ark Next Generation Internet ETF",69.36,-0.5,-0.72%,1442,37.17%,17.39%,29%,57.49%,2024-01-25
DGRO,"Dividend Growth Ishares Core ETF",54.72,0.52,+0.96%,5469,10.33%,17.38%,19%,20.97%,2024-01-25
EMB,"USD Emrg Mkts Bond Ishares JPM ETF",87.48,0.62,+0.71%,6038,8.75%,17.38%,18%,25.67%,2024-01-25
IAU,"Gold Trust Ishares",38.23,0.15,+0.39%,3428,11.26%,17.34%,13%,20.17%,2024-01-25
FNGS,"Microsectors Fang+ ETN",40.07,0,0.00%,618,24.36%,16.92%,14%,37.23%,2024-01-25
JNK,"High Yield Bond ETF SPDR",95.13,0.7,+0.74%,792,6.09%,15.62%,4%,15.25%,2024-01-25
TMV,"20+ Year Trsy Bear -3X Direxion ETF",34.79,-0.6,-1.70%,1907,40.47%,14.57%,15%,77.71%,2024-01-25
TQQQ,"Ultrapro QQQ 3X ETF",56.48,0.16,+0.28%,274797,47.37%,14.56%,13%,83.13%,2024-01-25
SPYG,"SPDR S&P 500 Growth Portfolio ETF",68.12,0.17,+0.25%,532,13.00%,14.54%,14%,24.45%,2024-01-25
GLD,"Gold SPDR",187.14,0.74,+0.40%,67113,11.09%,13.99%,10%,20.72%,2024-01-25
SQQQ,"Ultrapro Short QQQ -3X ETF",11.97,-0.02,-0.17%,189894,48.74%,13.59%,14%,87.00%,2024-01-25
AGQ,"Ultra Silver 2X ETF",24.87,0.51,+2.09%,1018,46.88%,13.33%,12%,67.96%,2024-01-25
ARKF,"Ark Fintech Innovation ETF",25.36,0.01,+0.04%,350,34.28%,13.29%,27%,55.51%,2024-01-25
XLU,"S&P 500 Utilities Sector SPDR",61.03,1.08,+1.80%,36612,16.16%,13.27%,25%,35.30%,2024-01-25
COPX,"GX Copper Miners ETF",36.68,0.33,+0.91%,254,24.45%,13.10%,8%,40.19%,2024-01-25
KBE,"S&P Bank ETF SPDR",45.93,-0.12,-0.26%,494,22.40%,12.89%,7%,64.79%,2024-01-25
DPST,"Regional Banks Bull 3X Direxion",92.65,-1.99,-2.10%,8706,83.55%,12.87%,22%,213.74%,2024-01-25
VOO,"S&P 500 ETF Vanguard",448.5,2.51,+0.56%,1381,11.76%,12.80%,22%,23.60%,2024-01-25
TSLQ,"Axs Tesla -1X Daily ETF",37.52,4.08,+12.20%,2218,45.05%,12.37%,5%,78.03%,2024-01-25
DFEN,"Aerospace Defense Bull 3X ETF Direxion",21.43,-0.56,-2.55%,185,41.25%,12.22%,23%,72.05%,2024-01-25
PFF,"US Preferred Stock Ishares ETF",31.96,0.28,+0.88%,1178,8.59%,11.67%,10%,22.01%,2024-01-25
BKLN,"Senior Loan Invesco ETF",21.05,0.04,+0.19%,272,7.12%,11.58%,56%,54.26%,2024-01-25
BND,"Total Bond Market ETF Vanguard",72.81,0.34,+0.47%,292,5.82%,11.35%,6%,11.36%,2024-01-25
OIH,"Vaneck Oil Services ETF",304.21,3.75,+1.25%,2116,28.79%,11.12%,13%,51.20%,2024-01-25
IYT,"Transportation Average Ishares ETF",264.93,4.71,+1.81%,209,16.63%,11.02%,14%,29.84%,2024-01-25
SVXY,"Short VIX Short-Term -1X Futures ETF",106.45,-0.72,-0.67%,6495,26.01%,10.98%,7%,51.98%,2024-01-25
SIVR,"Physical Silver ETF",21.91,0.22,+1.01%,419,22.61%,10.96%,7%,33.22%,2024-01-25
ITA,"US Aerospace & Defense Ishares ETF",121.67,-1.1,-0.90%,297,13.62%,10.77%,14%,23.67%,2024-01-25
SLV,"Silver Trust Ishares",20.94,0.23,+1.11%,81575,22.26%,10.29%,8%,33.76%,2024-01-25
SPLG,"SPDR Portfolio S&P 500 ETF",57.42,0.33,+0.58%,232,11.55%,10.13%,14%,23.37%,2024-01-25
VIG,"Dividend Appreciation ETF Vanguard",173.16,0.8,+0.46%,535,9.77%,10.12%,11%,24.13%,2024-01-25
VTI,"Total Stock Market ETF Vanguard",242.32,1.34,+0.56%,1471,11.67%,10.09%,12%,24.16%,2024-01-25
HYG,"High Yield Corp Bond Ishares Iboxx $ ETF",77.69,0.59,+0.77%,160060,2.75%,9.70%,3%,15.35%,2024-01-25
UDOW,"Ultrapro Dow30 3X ETF",75.83,1.36,+1.83%,2310,30.87%,9.18%,12%,61.01%,2024-01-25
SPMB,"Mortgage Backed Bond ETF SPDR",21.8,0.14,+0.65%,183,2.39%,9.00%,49%,23.61%,2024-01-25
SPXL,"S&P 500 Bull 3X Direxion",111.32,1.77,+1.62%,5742,33.21%,8.77%,12%,71.19%,2024-01-25
SDOW,"Ultrapro Short Dow 30 -3X ETF",18.03,-0.33,-1.80%,2347,30.62%,8.66%,6%,64.55%,2024-01-25
IVV,"S&P 500 Ishares Core ETF",490.33,2.72,+0.56%,715,11.35%,8.64%,11%,23.89%,2024-01-25
SPY,"S&P 500 SPDR",488.03,2.64,+0.54%,8103050,11.36%,8.23%,12%,24.06%,2024-01-25
GUSH,"S&P Oil & Gas Expl Bull 2X ETF Direxion",30.73,1.03,+3.47%,1812,51.50%,8.16%,10%,97.66%,2024-01-25
DRIP,"S&P Oil & Gas Expl Bear -2X Direxion",11.95,-0.41,-3.32%,838,51.71%,8.04%,9%,102.06%,2024-01-25
XME,"S&P Metals & Mining SPDR",56.69,-0.46,-0.80%,3492,23.97%,7.60%,16%,51.76%,2024-01-25
SSO,"Ultra S&P500 2X ETF",68.2,0.73,+1.08%,1245,22.22%,7.58%,14%,47.55%,2024-01-25
DIA,"Dow Industrials SPDR",380.48,2.39,+0.63%,62331,10.28%,7.50%,12%,20.64%,2024-01-25
FEZ,"Euro Stoxx 50 ETF SPDR",47.67,0.25,+0.53%,1967,15.26%,7.43%,16%,42.43%,2024-01-25
SPXU,"Ultrapro Short S&P500 -3X ETF",8.03,-0.12,-1.47%,9695,33.90%,7.40%,7%,73.95%,2024-01-25
VXX,"Ipath.B S&P 500 VIX Short-Term Futures ETN",14.61,0.16,+1.11%,37238,54.42%,7.29%,6%,114.52%,2024-01-25
ERX,"Energy Bull 2X ETF Direxion",55.91,2.34,+4.37%,3061,39.41%,7.19%,5%,75.88%,2024-01-25
SPXS,"S&P 500 Bear -3X Direxion",10.79,-0.15,-1.37%,16199,33.34%,6.59%,8%,74.49%,2024-01-25
XOP,"S&P Oil & Gas Expl & Prod SPDR",133.18,2.29,+1.75%,15564,25.07%,6.42%,8%,48.96%,2024-01-25
UVIX,"VS TR 2X Long VIX Futures ETF",11.86,0.32,+2.77%,10205,108.77%,6.42%,3%,228.33%,2024-01-25
UPRO,"Ultrapro S&P 500 3X ETF",58.6,0.92,+1.60%,6114,32.83%,6.28%,9%,70.84%,2024-01-25
SKF,"Ultrashort Financials -2X ETF",14.14,-0.13,-0.91%,761,25.85%,6.23%,6%,74.15%,2024-01-25
UUP,"DB US Dollar Index Bullish Fund Invesco",27.78,0.08,+0.29%,3391,7.01%,5.62%,34%,43.57%,2024-01-25
IEF,"7-10 Year Treasury Bond Ishares ETF",95.13,0.41,+0.43%,2608,7.73%,5.18%,4%,15.31%,2024-01-25
XLP,"S&P 500 Cons Staples Sector SPDR",72.28,0.69,+0.96%,6295,10.13%,4.77%,6%,25.52%,2024-01-25
EWG,"Germany Ishares MSCI ETF",29.31,-0.05,-0.17%,1631,14.77%,4.74%,5%,35.57%,2024-01-25
EWU,"UK Ishares MSCI ETF",32.27,0.17,+0.53%,536,12.82%,4.68%,5%,26.57%,2024-01-25
XLF,"S&P 500 Financials Sector SPDR",38.51,0.19,+0.50%,239160,13.17%,4.20%,6%,36.17%,2024-01-25
FAS,"Financial Bull 3X Direxion",87.86,1.41,+1.63%,2629,37.93%,3.31%,4%,109.12%,2024-01-25
FAZ,"Financial Bear -3X Direxion",12.88,-0.17,-1.30%,1449,39.17%,3.13%,4%,112.86%,2024-01-25
SVIX,"VS TR Short VIX -1X Futures ETF",39.74,-0.11,-0.28%,835,49.27%,1.20%,1%,99.91%,2024-01-25
EWZ,"Brazil Ishares MSCI ETF",33.19,0.26,+0.79%,43202,12.71%,0.00%,0%,47.18%,2024-01-25
"Downloaded from Barchart.com as of 01-25-2024 07:11pm CST"
