,Symbol,Industry
184,FTAI,Investment Managers
185,WFCF,Miscellaneous Commercial Services
186,MSFT,Packaged Software
187,RH,Specialty Stores
188,PI,Semiconductors
189,APLS,Pharmaceuticals: Major
190,GDEN,Movies/Entertainment
191,CF,Chemicals: Agricultural
192,ASLE,Wholesale Distributors
193,RMD,Medical Specialties
194,MPC,Oil Refining/Marketing
195,ASML,Semiconductors
196,AMBA,Semiconductors
197,NTRA,Medical Specialties
198,FANG,Oil & Gas Production
199,MEG,Miscellaneous Commercial Services
200,VIPS,Internet Retail
201,ARVN,Biotechnology
202,UNH,Managed Health Care
203,BURL,Apparel/Footwear Retail
204,FOXF,Auto Parts: OEM
205,VTRU,Miscellaneous Commercial Services
206,VAC,Other Consumer Services
207,V,Miscellaneous Commercial Services
208,SNDX,Biotechnology
209,ORCL,Packaged Software
210,QLYS,Packaged Software
211,ACI,Food Retail
212,HEI,Aerospace & Defense
213,AAPL,Telecommunications Equipment
214,BAH,Miscellaneous Commercial Services
215,HLI,Investment Banks/Brokers
216,ALTG,Wholesale Distributors
217,MHH,Personnel Services
218,CMG,Restaurants
219,HD,Home Improvement Chains
220,VEL,Finance/Rental/Leasing
221,CRM,Packaged Software
222,ALGN,Medical Specialties
223,PCVX,Biotechnology
224,MUSA,Specialty Stores
225,PRTA,Biotechnology
226,MIDD,Industrial Machinery
227,KDP,Beverages: Non-Alcoholic
228,NVT,Electronic Components
229,PFX,Investment Trusts/Mutual Funds
230,ZETA,Packaged Software
231,OKTA,Packaged Software
232,EVA,Industrial Specialties
233,FICO,Packaged Software
234,DXCM,Medical Specialties
235,ELYS,Casinos/Gaming
236,LAZY,Specialty Stores
237,GNRC,Electrical Products
238,PENN,Movies/Entertainment
239,ACT,Multi-Line Insurance
240,SFBS,Regional Banks
241,HCI,Property/Casualty Insurance
242,DPZ,Restaurants
243,LRCX,Industrial Machinery
244,JBT,Industrial Machinery
245,CTSH,Information Technology Services
246,DIOD,Semiconductors
247,LGIH,Homebuilding
248,AJRD,Aerospace & Defense
249,ZGN,Apparel/Footwear
250,ACA,Trucks/Construction/Farm Machinery
251,AMTB,Major Banks
252,SMPL,Food: Major Diversified
253,ALTR,Packaged Software
254,KEYS,Electronic Equipment/Instruments
255,ROST,Apparel/Footwear Retail
256,MYFW,Investment Managers
257,REAX,Packaged Software
258,CSCO,Telecommunications Equipment
259,TSCO,Specialty Stores
260,BIP,Alternative Power Generation
261,AMGN,Biotechnology
262,CSWI,Industrial Specialties
263,HDB,Regional Banks
264,REPL,Biotechnology
265,VIR,Biotechnology
266,ADUS,Medical/Nursing Services
267,HII,Aerospace & Defense
268,ABBV,Pharmaceuticals: Major
269,IDXX,Medical Specialties
270,ADBE,Packaged Software
271,MELI,Internet Retail
272,ERO,Other Metals/Minerals
273,CPRT,Miscellaneous Commercial Services
274,RGLD,Precious Metals
275,EDRY,Marine Shipping
276,HQI,Personnel Services
277,ORLY,Specialty Stores
278,BE,Electrical Products
279,MTDR,Integrated Oil
280,WD,Finance/Rental/Leasing
281,INMD,Medical Specialties
282,XPOF,Other Consumer Services
283,TVTX,Pharmaceuticals: Major
284,IBEX,Advertising/Marketing Services
285,META,Internet Software/Services
286,DHR,Medical Specialties
287,AMAT,Industrial Machinery
288,ZTS,Pharmaceuticals: Major
289,CHTR,Cable/Satellite TV
290,AX,Major Banks
291,SAIA,Trucking
292,APH,Electronic Components
293,BRP,Multi-Line Insurance
294,AYX,Packaged Software
295,TREE,Finance/Rental/Leasing
296,FSBW,Savings Banks
297,IMXI,Regional Banks
298,BFC,Regional Banks
299,FIVE,Discount Stores
300,HTHT,Hotels/Resorts/Cruise lines
301,NTLA,Pharmaceuticals: Major
302,PRI,Life/Health Insurance
303,CME,Investment Banks/Brokers
304,NXPI,Semiconductors
305,ROP,Packaged Software
306,ICHR,Industrial Machinery
307,AGM,Finance/Rental/Leasing
308,NVO,Pharmaceuticals: Major
309,EW,Medical Specialties
310,FDS,Data Processing Services
311,BIDU,Internet Software/Services
312,CDAY,Packaged Software
313,KLAC,Semiconductors
314,VEEV,Packaged Software
315,HCC,Coal
316,SBUX,Restaurants
317,DKNG,Movies/Entertainment
318,PAYX,Data Processing Services
319,LCII,Miscellaneous Manufacturing
320,ALNY,Pharmaceuticals: Major
321,FAST,Wholesale Distributors
322,TPL,Investment Trusts/Mutual Funds
323,EQH,Financial Conglomerates
324,BLK,Investment Managers
325,DG,Discount Stores
326,LPLA,Investment Banks/Brokers
327,MSCI,Data Processing Services
328,WMS,Miscellaneous Manufacturing
329,NKE,Apparel/Footwear
330,SCHW,Investment Banks/Brokers
331,SCCO,Other Metals/Minerals
332,BOOT,Apparel/Footwear Retail
333,FSV,Real Estate Development
334,TCBC,Savings Banks
335,QCOM,Semiconductors
336,RJF,Investment Banks/Brokers
337,GIL,Apparel/Footwear
338,ODFL,Trucking
339,MYRG,Engineering & Construction
340,MTD,Medical Specialties
341,DKS,Specialty Stores
342,APTV,Auto Parts: OEM
343,SYK,Medical Specialties
344,MBIN,Regional Banks
345,GNTX,Auto Parts: OEM
346,PTSI,Trucking
347,MEC,Industrial Machinery
348,MKTX,Investment Banks/Brokers
349,NVCR,Medical Specialties
350,RS,Steel
351,LW,Food: Specialty/Candy
352,ANSS,Packaged Software
353,WSO.B,Building Products
354,SSTI,Packaged Software
355,MCFT,Recreational Products
356,CNC,Managed Health Care
357,HLNE,Investment Managers
358,GILD,Biotechnology
359,LKQ,Automotive Aftermarket
360,RXST,Electronic Components
361,OLLI,Department Stores
362,CRWS,Home Furnishings
363,EXPD,Air Freight/Couriers
364,HALO,Biotechnology
365,LULU,Internet Retail
366,NEN,Real Estate Development
367,GCBC,Savings Banks
368,NPO,Industrial Machinery
369,FLGT,Medical/Nursing Services
370,GMED,Medical Specialties
371,ABG,Specialty Stores
372,DOOO,Trucks/Construction/Farm Machinery
373,MSB,Steel
374,PTRS,Regional Banks
375,SMCI,Computer Communications
376,CSGP,Internet Software/Services
377,GSBC,Regional Banks
378,INTU,Packaged Software
379,BTG,Precious Metals
380,PII,Recreational Products
381,TENB,Packaged Software
382,ESQ,Major Banks
383,DLTR,Discount Stores
384,CVCO,Homebuilding
385,MGA,Auto Parts: OEM
386,TDY,Aerospace & Defense
387,FVRR,Internet Software/Services
388,GOLF,Recreational Products
389,BCPC,Food: Specialty/Candy
390,NIC,Major Banks
391,IQV,Services to the Health Industry
392,DT,Packaged Software
393,FIZZ,Beverages: Non-Alcoholic
394,SONO,Electronic Production Equipment
395,VKTX,Pharmaceuticals: Major
396,EA,Packaged Software
397,JBL,Electronic Components
398,SGEN,Pharmaceuticals: Major
399,SUPN,Pharmaceuticals: Major
400,FOCS,Investment Managers
401,PODD,Medical Specialties
402,DELL,Computer Processing Hardware
403,LOW,Home Improvement Chains
404,CFR,Regional Banks
405,RLI,Multi-Line Insurance
406,DKL,Oil & Gas Pipelines
407,MGY,Oil & Gas Production
408,GOOG,Internet Software/Services
409,ASR,Other Transportation
410,MLI,Metal Fabrication
411,GOOGL,Internet Software/Services
412,BAK,Chemicals: Specialty
413,LII,Industrial Machinery
414,ICE,Investment Banks/Brokers
415,GGG,Industrial Machinery
416,RYI,Steel
417,AZO,Specialty Stores
418,CQP,Gas Distributors
419,PGR,Multi-Line Insurance
420,KIDS,Medical Specialties
421,ARLP,Coal
422,FISV,Regional Banks
423,FLT,Miscellaneous Commercial Services
424,RPD,Information Technology Services
425,AWK,Water Utilities
426,ZG,Real Estate Development
427,EME,Engineering & Construction
428,BBY,Electronics/Appliance Stores
429,CYBR,Packaged Software
430,WSO,Building Products
431,SBR,Investment Trusts/Mutual Funds
432,FRPT,Food: Specialty/Candy
433,CWEN,Alternative Power Generation
434,TJX,Apparel/Footwear Retail
435,STZ,Beverages: Alcoholic
436,BRO,Insurance Brokers/Services
437,MO,Tobacco
438,SMTC,Semiconductors
439,MAIN,Investment Managers
440,CLW,Pulp & Paper
441,RBC,Metal Fabrication
442,GME,Electronics/Appliance Stores
443,DYAI,Medical/Nursing Services
444,PLRX,Biotechnology
445,SYNA,Semiconductors
446,CNXC,Miscellaneous Commercial Services
447,ATEN,Information Technology Services
448,KKR,Investment Managers
449,ALRM,Packaged Software
450,CCF,Industrial Specialties
451,WAT,Medical Specialties
452,TYL,Packaged Software
453,CCS,Homebuilding
454,BMI,Industrial Machinery
455,BAFN,Regional Banks
456,BIIB,Biotechnology
457,PJT,Investment Banks/Brokers
458,HIFS,Savings Banks
459,ARCH,Coal
460,HEI.A,Aerospace & Defense
461,ELF,Household/Personal Care
462,WCN,Trucking
463,INMB,Biotechnology
464,BIO.B,Medical Specialties
465,SKX,Apparel/Footwear
466,RHI,Personnel Services
467,AB,Investment Managers
468,OZK,Regional Banks
469,CMCL,Precious Metals
470,CNI,Railroads
471,CMPX,Pharmaceuticals: Major
472,KRMD,Medical Specialties
473,HUBB,Electrical Products
474,AYI,Electrical Products
475,SKE,Precious Metals
476,GRWG,Wholesale Distributors
477,TGLS,Building Products
478,PATK,Homebuilding
479,SLP,Packaged Software
480,NSSC,Miscellaneous Commercial Services
481,RMR,Financial Conglomerates
482,UHS,Hospital/Nursing Management
483,OSK,Motor Vehicles
484,PLXS,Electronic Production Equipment
485,MCHP,Semiconductors
486,IT,Internet Software/Services
487,CBOE,Investment Banks/Brokers
488,BX,Investment Managers
489,COOP,Finance/Rental/Leasing
490,PDCE,Oil & Gas Production
491,DHI,Homebuilding
492,FERG,Wholesale Distributors
493,TTC,Trucks/Construction/Farm Machinery
494,SILV,Precious Metals
495,MTSI,Semiconductors
496,CNQ,Oil & Gas Production
497,FNV,Precious Metals
498,LSTR,Trucking
499,TSM,Semiconductors
500,DFS,Finance/Rental/Leasing
501,SSNC,Information Technology Services
502,NEWP,Precious Metals
503,ATVI,Packaged Software
504,XPO,Trucking
505,HVBC,Regional Banks
506,PNFP,Regional Banks
507,NDAQ,Investment Banks/Brokers
508,JAZZ,Pharmaceuticals: Major
509,NVR,Homebuilding
510,DGX,Services to the Health Industry
511,SUN,Wholesale Distributors
512,EVH,Miscellaneous Commercial Services
513,NXGN,Packaged Software
514,HSTM,Packaged Software
515,HOG,Motor Vehicles
516,TCOM,Other Consumer Services
517,BANF,Regional Banks
518,ELV,Managed Health Care
519,FELE,Industrial Machinery
520,SBS,Water Utilities
521,SAIC,Information Technology Services
522,OTEX,Packaged Software
523,PHI,Specialty Telecommunications
524,MKL,Property/Casualty Insurance
525,NOVA,Alternative Power Generation
526,NSIT,Information Technology Services
527,GSHD,Insurance Brokers/Services
528,BL,Packaged Software
529,SNEX,Investment Banks/Brokers
530,EPD,Oil & Gas Pipelines
531,NXST,Broadcasting
532,TROW,Investment Managers
533,POWI,Semiconductors
534,WST,Medical Specialties
535,RDNT,Medical/Nursing Services
536,MOH,Managed Health Care
537,CACI,Information Technology Services
538,SIVB,Regional Banks
539,SHW,Industrial Specialties
540,SOTK,Industrial Machinery
541,LIN,Chemicals: Specialty
542,SQM,Chemicals: Specialty
543,TECH,Biotechnology
544,DECK,Apparel/Footwear
545,CTAS,Other Consumer Services
546,TMO,Medical Specialties
547,ILMN,Biotechnology
548,PAC,Other Transportation
549,CACC,Finance/Rental/Leasing
550,CALM,Agricultural Commodities/Milling
551,ADSK,Packaged Software
552,MTCH,Internet Software/Services
553,FSI,Chemicals: Major Diversified
554,AMP,Investment Banks/Brokers
555,LANC,Food: Specialty/Candy
556,FDUS,Investment Managers
557,RLGT,Air Freight/Couriers
558,LOGI,Computer Peripherals
559,ALB,Chemicals: Specialty
560,CRSP,Biotechnology
561,MLAB,Medical Specialties
562,OPRA,Packaged Software
563,DCI,Auto Parts: OEM
564,BF.A,Beverages: Alcoholic
565,ABC,Medical Distributors
566,CAH,Medical Distributors
567,FCN,Miscellaneous Commercial Services
568,IBN,Regional Banks
569,PCRX,Pharmaceuticals: Major
570,MDT,Medical Specialties
571,FN,Semiconductors
572,PROK,Biotechnology
573,MEI,Electronic Components
574,WH,Hotels/Resorts/Cruise lines
575,DE,Trucks/Construction/Farm Machinery
576,CBNK,Major Banks
577,SNX,Electronics Distributors
578,PFSI,Finance/Rental/Leasing
579,BR,Information Technology Services
580,HESM,Integrated Oil
581,WSFS,Savings Banks
582,FBIN,Building Products
583,DICE,Biotechnology
584,AFL,Multi-Line Insurance
585,RYAAY,Airlines
586,ZBRA,Computer Processing Hardware
587,BRK.A,Property/Casualty Insurance
588,STLD,Steel
589,OFG,Major Banks
590,HLIO,Industrial Machinery
591,IPAR,Household/Personal Care
592,LMAT,Medical Specialties
593,PCAR,Trucks/Construction/Farm Machinery
594,YUM,Restaurants
595,SSD,Building Products
596,IEX,Industrial Machinery
597,NTIP,Miscellaneous Commercial Services
598,ESLT,Aerospace & Defense
599,CSL,Building Products
600,LECO,Industrial Machinery
601,LYB,Chemicals: Specialty
602,YUMC,Restaurants
603,MMP,Oil & Gas Pipelines
604,AN,Specialty Stores
605,SHOO,Apparel/Footwear
606,TW,Investment Banks/Brokers
607,MNSB,Regional Banks
608,WIRE,Electrical Products
609,LSCC,Semiconductors
610,AQUA,Industrial Machinery
611,USNA,Pharmaceuticals: Other
612,SEIC,Investment Managers
613,MBUU,Recreational Products
614,IGT,Casinos/Gaming
615,LEN,Homebuilding
616,DINO,Oil Refining/Marketing
617,IRMD,Medical Specialties
618,TRNS,Electronic Equipment/Instruments
619,EXP,Construction Materials
620,FSFG,Regional Banks
621,WAVD,Information Technology Services
622,TTEK,Engineering & Construction
623,TTWO,Packaged Software
624,JBHT,Trucking
625,XYL,Industrial Machinery
626,WSM,Specialty Stores
627,FRBA,Regional Banks
628,VALE,Steel
629,JEF,Investment Banks/Brokers
630,RUSHA,Specialty Stores
631,CBRL,Restaurants
632,TWLO,Packaged Software
633,SMAR,Packaged Software
634,FAF,Specialty Insurance
635,XNCR,Biotechnology
636,CGNX,Electronic Equipment/Instruments
637,THO,Recreational Products
638,BN,Investment Managers
639,POST,Food: Specialty/Candy
640,OFLX,Miscellaneous Manufacturing
641,AMSF,Property/Casualty Insurance
642,CZFS,Regional Banks
643,MVBF,Regional Banks
644,SYBT,Regional Banks
645,MCO,Financial Publishing/Services
646,ICLR,Miscellaneous Commercial Services
647,VMI,Metal Fabrication
648,CRVL,Insurance Brokers/Services
649,NUE,Steel
650,FFIN,Major Banks
651,HELE,Home Furnishings
652,IRDM,Specialty Telecommunications
653,SFBC,Regional Banks
654,CIGI,Real Estate Development
655,MOG.A,Aerospace & Defense
656,CHKP,Internet Software/Services
657,TFII,Trucking
658,DORM,Automotive Aftermarket
659,PNRG,Oil & Gas Production
660,ROK,Electronic Equipment/Instruments
661,BF.B,Beverages: Alcoholic
662,GPI,Specialty Stores
663,STE,Medical Specialties
664,WYNN,Casinos/Gaming
665,NSP,Personnel Services
666,UTZ,Food: Specialty/Candy
667,BERY,Miscellaneous Manufacturing
668,MGRC,Finance/Rental/Leasing
669,IMOS,Semiconductors
670,VRSK,Data Processing Services
671,TXN,Semiconductors
672,ADP,Data Processing Services
673,ROL,Other Consumer Services
674,FDBC,Regional Banks
675,WHD,Oilfield Services/Equipment
676,ITW,Industrial Machinery
677,TECK,Coal
678,CHD,Household/Personal Care
679,WIX,Information Technology Services
680,VATE,Engineering & Construction
681,EL,Household/Personal Care
682,HOLX,Medical Specialties
683,FUN,Movies/Entertainment
684,UTMD,Medical Specialties
685,UHAL,Finance/Rental/Leasing
686,JCI,Industrial Machinery
687,SPLP,Electrical Products
688,CHRW,Air Freight/Couriers
689,SIGI,Property/Casualty Insurance
690,USPH,Medical/Nursing Services
691,SPGI,Financial Publishing/Services
692,TT,Industrial Machinery
693,TRGP,Gas Distributors
694,VRTV,Wholesale Distributors
695,CCAP,Investment Managers
696,EFX,Miscellaneous Commercial Services
697,TS,Steel
698,HLT,Hotels/Resorts/Cruise lines
699,WAFU,Miscellaneous Commercial Services
700,VLO,Oil Refining/Marketing
701,LAD,Specialty Stores
702,FLO,Food: Specialty/Candy
703,GDS,Data Processing Services
704,HSY,Food: Specialty/Candy
705,LLY,Pharmaceuticals: Major
706,GWW,Wholesale Distributors
707,DRI,Restaurants
708,GTLS,Industrial Machinery
709,SBEV,Medical/Nursing Services
710,GLP,Wholesale Distributors
711,COHR,Electronic Equipment/Instruments
712,GRMN,Telecommunications Equipment
713,KR,Food Retail
714,RRR,Hotels/Resorts/Cruise lines
715,CENTA,Consumer Sundries
716,BKE,Apparel/Footwear Retail
717,PBT,Investment Trusts/Mutual Funds
718,AEO,Apparel/Footwear Retail
719,ENB,Oil & Gas Pipelines
720,SU,Integrated Oil
721,KNX,Trucking
722,WRB,Property/Casualty Insurance
723,CMC,Steel
724,ABT,Medical Specialties
725,OMC,Advertising/Marketing Services
726,AME,Electrical Products
727,AOS,Building Products
728,CASY,Specialty Stores
729,ITT,Industrial Machinery
730,CNS,Investment Managers
731,LOB,Regional Banks
732,BEN,Investment Managers
733,CP,Railroads
734,RNR,Property/Casualty Insurance
735,TPR,Apparel/Footwear Retail
736,NTAP,Computer Peripherals
737,ALVO,Biotechnology
738,ETN,Electrical Products
739,ITUB,Major Banks
740,OKE,Oil & Gas Pipelines
741,TPX,Home Furnishings
742,PRIM,Engineering & Construction
743,MCD,Restaurants
744,AGCO,Trucks/Construction/Farm Machinery
745,WMT,Specialty Stores
746,TD,Major Banks
747,MRTN,Trucking
748,ECL,Chemicals: Specialty
749,CHH,Hotels/Resorts/Cruise lines
750,EXLS,Data Processing Services
751,LTHM,Chemicals: Specialty
752,AWR,Water Utilities
753,CCOI,Specialty Telecommunications
754,LOPE,Miscellaneous Commercial Services
755,SMBC,Savings Banks
756,URI,Finance/Rental/Leasing
757,TRTN,Finance/Rental/Leasing
758,ITIC,Specialty Insurance
759,SYY,Other Transportation
760,WOLF,Semiconductors
761,JNJ,Pharmaceuticals: Major
762,BMO,Major Banks
763,WEX,Miscellaneous Commercial Services
764,GBCI,Regional Banks
765,TIPT,Specialty Insurance
766,SPB,Electronics/Appliances
767,LNN,Trucks/Construction/Farm Machinery
768,WCC,Wholesale Distributors
769,CTLP,Regional Banks
770,MANH,Packaged Software
771,FWRD,Trucking
772,BDX,Medical Specialties
773,STRL,Engineering & Construction
774,PFIE,Electronic Equipment/Instruments
775,WFC,Major Banks
776,NDSN,Industrial Machinery
777,EWBC,Regional Banks
778,RCUS,Biotechnology
779,SWBI,Aerospace & Defense
780,SID,Steel
781,CAT,Trucks/Construction/Farm Machinery
782,FRC,Regional Banks
783,PKG,Containers/Packaging
784,VMD,Hospital/Nursing Management
785,UNP,Railroads
786,ITCI,Pharmaceuticals: Major
787,DZSI,Telecommunications Equipment
788,CW,Aerospace & Defense
789,FMC,Chemicals: Agricultural
790,PEP,Beverages: Non-Alcoholic
791,PFGC,Other Transportation
792,CBZ,Miscellaneous Commercial Services
793,RY,Major Banks
794,LITE,Electrical Products
795,BTI,Tobacco
796,SAFT,Property/Casualty Insurance
797,CHDN,Movies/Entertainment
798,OMAB,Other Transportation
799,CPK,Gas Distributors
800,ESGR,Multi-Line Insurance
801,INDB,Regional Banks
802,CVBF,Regional Banks
803,WPM,Precious Metals
804,HIBB,Specialty Stores
805,SPLK,Packaged Software
806,MU,Semiconductors
807,SNPS,Packaged Software
808,GPN,Miscellaneous Commercial Services
809,COKE,Beverages: Non-Alcoholic
810,WWD,Industrial Machinery
811,HUM,Managed Health Care
812,EXPO,Engineering & Construction
813,IOSP,Chemicals: Major Diversified
814,AMPH,Pharmaceuticals: Major
815,VSEC,Engineering & Construction
816,LEGH,Homebuilding
817,RBA,Wholesale Distributors
818,AIT,Wholesale Distributors
819,EGBN,Regional Banks
820,TRU,Financial Publishing/Services
821,COLM,Apparel/Footwear
822,FCFS,Finance/Rental/Leasing
823,ESE,Electronic Equipment/Instruments
824,STX,Computer Peripherals
825,NHC,Hospital/Nursing Management
826,CB,Property/Casualty Insurance
827,GEF.B,Containers/Packaging
828,ACN,Information Technology Services
829,PH,Industrial Machinery
830,COST,Specialty Stores
831,FND,Home Improvement Chains
832,NEE,Electric Utilities
833,RVLV,Internet Retail
834,ZYXI,Medical Specialties
835,USLM,Construction Materials
836,BIO,Medical Specialties
837,JXN,Financial Conglomerates
838,CAR,Finance/Rental/Leasing
839,OLED,Electronic Production Equipment
840,MRK,Pharmaceuticals: Major
841,NICE,Information Technology Services
842,PLUS,Packaged Software
843,VRT,Electronic Production Equipment
844,STLA,Motor Vehicles
845,NEP,Electric Utilities
846,BOX,Packaged Software
847,BCC,Wholesale Distributors
848,ON,Semiconductors
849,WLK,Chemicals: Specialty
850,ACGL,Multi-Line Insurance
851,STN,Engineering & Construction
852,ICFI,Miscellaneous Commercial Services
853,INCY,Pharmaceuticals: Major
854,ZTO,Air Freight/Couriers
855,BCE,Major Telecommunications
856,WTRG,Water Utilities
857,MSA,Other Consumer Specialties
858,DQ,Chemicals: Specialty
859,COHU,Semiconductors
860,TMCI,Medical Specialties
861,MSEX,Water Utilities
862,TGT,Specialty Stores
863,APD,Chemicals: Specialty
864,AJG,Insurance Brokers/Services
865,NWLI,Life/Health Insurance
866,RCI,Wireless Telecommunications
867,PB,Regional Banks
868,ANDE,Miscellaneous Commercial Services
869,WDAY,Information Technology Services
870,MLM,Construction Materials
871,LMT,Aerospace & Defense
872,DOV,Industrial Machinery
873,NEOG,Medical Specialties
874,SBSI,Regional Banks
875,ADI,Semiconductors
876,REGN,Pharmaceuticals: Major
877,AON,Insurance Brokers/Services
878,GDDY,Data Processing Services
879,RRX,Industrial Machinery
880,LEA,Auto Parts: OEM
881,CI,Managed Health Care
882,TRMB,Packaged Software
883,CSX,Railroads
884,LHX,Aerospace & Defense
885,VGR,Tobacco
886,TNET,Miscellaneous Commercial Services
887,FWONK,Movies/Entertainment
888,CE,Chemicals: Specialty
889,ATR,Containers/Packaging
890,CL,Household/Personal Care
891,GEN,Packaged Software
892,APG,Engineering & Construction
893,GL,Life/Health Insurance
894,GD,Aerospace & Defense
895,AZZ,Electrical Products
896,PMN,Miscellaneous Commercial Services
897,CR,Industrial Machinery
