Symbol,Sharpe,Sortino
RWAY,0.18,0.3
FNLC,0.17,0.28
KYMR,0.17,0.25
META,0.17,0.24
AEG,0.17,0.24
MLP,0.16,0.31
HCI,0.16,0.24
ESTA,0.16,0.22
PSTG,0.15,0.27
FHLT,0.15,0.18
BIPC,0.14,0.2
EFSC,0.13,0.22
CNA,0.13,0.2
BTG,0.12,0.19
ATRI,0.12,0.18
NTLA,0.11,0.26
TTD,0.1,0.16
AIZ,0.1,0.16
FGH,0.08,0.2
JHG,0.08,0.12
PINC,0.08,0.11
DISA,0.08,0.11
JPM,0.07,0.11
FGBI,0.07,0.11
ARKR,0.07,0.1
TSLA,0.06,0.1
QCRH,0.06,0.08
MIDD,0.04,0.07
VLRS,0.04,0.05
TRDA,0.03,0.05
OMQS,0.03,0.05
HTCR,0.03,0.05
GMED,0.02,0.03
CZNC,0.02,0.03
ENOB,0.02,0.03
WHG,0.01,0.02
REAX,0.01,0.01
MGYR,0.0,0.01
FRBA,-0.0,-0.01
PHX,-0.01,-0.01
GRIL,-0.01,-0.01
ANSS,-0.02,-0.03
QIPT,-0.02,-0.03
SYNA,-0.02,-0.04
MREO,-0.02,-0.04
WVVI,-0.03,-0.04
SHG,-0.03,-0.05
ITI,-0.04,-0.06
MCHX,-0.06,-0.09
OSI,-0.06,-0.1
HOMB,-0.07,-0.09
BAC,-0.07,-0.1
MGIC,-0.07,-0.1
HLNE,-0.07,-0.11
EQS,-0.07,-0.11
CIR,-0.08,-0.12
GTES,-0.09,-0.13
XPRO,-0.09,-0.14
SENEA,-0.1,-0.14
ALIT,-0.1,-0.15
JOE,-0.11,-0.15
PAX,-0.11,-0.15
AAN,-0.13,-0.19
NEP,-0.14,-0.19
ACEL,-0.14,-0.2
NXGN,-0.14,-0.23
SSTK,-0.14,-0.24
GMGI,-0.14,-0.29
DT,-0.15,-0.19
EEX,-0.15,-0.22
TEAM,-0.16,-0.22
BBY,-0.16,-0.26
YMM,-0.16,-0.27
CE,-0.18,-0.24
PB,-0.19,-0.25
MTX,-0.19,-0.27
TEVA,-0.19,-0.3
ANEB,-0.19,-0.32
OZ,-0.2,-0.3
CRBP,-0.2,-0.39
RCM,-0.22,-0.29
CPSI,-0.22,-0.3
ARGO,-0.23,-0.28
FUTU,-0.23,-0.37
BEP,-0.24,-0.35
PED,-0.25,-0.35
CRVS,-0.25,-0.53
SOHU,-0.26,-0.38
CTSH,-0.27,-0.39
PROV,-0.27,-0.39
AUUD,-0.27,-0.51
INFU,-0.28,-0.39
YETI,-0.28,-0.41
AHG,-0.28,-0.42
CLSK,-0.28,-0.45
SGMA,-0.29,-0.4
COLM,-0.29,-0.46
TSM,-0.29,-0.47
WBX,-0.29,-0.51
VVX,-0.3,-0.38
KRT,-0.3,-0.4
SOPH,-0.3,-0.54
AMZN,-0.32,-0.47
VRNT,-0.33,-0.39
GSHD,-0.33,-0.48
ADAP,-0.33,-0.48
ALGN,-0.34,-0.44
LKFN,-0.34,-0.49
SCWX,-0.34,-0.5
QNCX,-0.35,-0.49
SCL,-0.37,-0.51
XOMA,-0.37,-0.51
GENI,-0.37,-0.58
LVLU,-0.37,-0.58
CTSO,-0.37,-0.6
FBMS,-0.39,-0.52
UBER,-0.39,-0.54
SCU,-0.41,-0.51
HOUR,-0.42,-0.58
ZLAB,-0.42,-0.63
TBCPU,-0.43,-0.5
PD,-0.44,-0.58
FSTR,-0.44,-0.58
SNOW,-0.47,-0.59
ELEV,-0.47,-0.71
CMLS,-0.48,-0.64
TRUP,-0.49,-0.65
MRM,-0.49,-0.69
BKU,-0.5,-0.58
INSM,-0.5,-0.62
NVFY,-0.5,-0.95
OMI,-0.51,-0.65
THRN,-0.51,-0.74
HCSG,-0.52,-0.64
AFYA,-0.52,-0.66
EVLV,-0.52,-0.72
DRRX,-0.52,-0.88
EB,-0.54,-0.76
BB,-0.55,-0.7
PRTH,-0.56,-0.73
PLG,-0.56,-0.73
CRDF,-0.56,-0.77
AQMS,-0.56,-0.88
EHTH,-0.57,-0.8
YQ,-0.57,-0.84
AI,-0.58,-0.86
LMFA,-0.58,-0.86
SLNO,-0.58,-0.88
LX,-0.59,-0.96
CTLT,-0.6,-0.75
FIGS,-0.61,-0.8
OPRX,-0.61,-0.8
CD,-0.62,-0.78
NXGL,-0.62,-0.78
PHAT,-0.62,-0.81
BOC,-0.63,-0.78
MX,-0.63,-0.83
ANZUU,-0.65,-0.79
APWC,-0.67,-0.87
CCV,-0.69,-0.73
GWRS,-0.69,-0.84
SKM,-0.7,-0.77
LAZR,-0.72,-0.91
TSVT,-0.73,-0.93
ENFN,-0.74,-0.88
FSR,-0.75,-0.97
ALLG,-0.75,-0.97
WB,-0.75,-0.99
CCM,-0.79,-0.94
ESMT,-0.81,-0.91
ALGT,-0.82,-1.02
HMPT,-0.82,-1.05
NKTX,-0.82,-1.09
BOH,-0.83,-0.89
CHGG,-0.83,-0.97
SPCE,-0.83,-1.16
ITP,-0.83,-1.24
NEPH,-0.86,-1.0
MGTA,-0.88,-1.05
QUOT,-0.9,-1.05
CEAD,-0.91,-1.12
APT,-0.95,-1.16
EMKR,-0.95,-1.26
NBTX,-0.95,-1.29
DM,-0.97,-1.29
SAM,-0.99,-1.2
OWLT,-0.99,-1.24
GBNH,-0.99,-1.29
SGBX,-1.0,-1.48
CENN,-1.01,-1.29
TREE,-1.03,-1.46
CNTA,-1.04,-1.16
FGI,-1.04,-1.25
MOGO,-1.04,-1.26
JAN,-1.04,-1.3
CLVR,-1.04,-1.56
GROW,-1.05,-1.22
LIAN,-1.05,-1.23
WLDN,-1.05,-1.25
TSP,-1.05,-1.35
IMBI,-1.09,-1.25
BRZE,-1.11,-1.26
EEIQ,-1.13,-1.32
JVA,-1.15,-1.45
ALKT,-1.21,-1.31
BVXV,-1.29,-1.4
UBX,-1.29,-1.56
QRTEA,-1.3,-1.53
LEJU,-1.3,-1.63
MIND,-1.4,-1.7
DMS,-1.44,-1.6
AACG,-1.44,-1.73
CHEK,-1.52,-1.6
ANGN,-1.52,-1.62
TWST,-1.53,-1.64
SQZ,-1.58,-1.55
ABSI,-1.59,-1.79
APRE,-1.61,-1.73
UEIC,-1.63,-1.59
HSDT,-1.81,-1.78
LMND,-1.83,-1.82
PASG,-1.89,-1.83
WPRT,-1.92,-1.93
VIEW,-2.0,-1.99
TCBP,-2.13,-2.05
PRE,-2.33,-1.98
NBSE,-2.47,-2.15
QLGN,-3.22,-2.51
