,Symbol,Sharpe,Sortino
159,HWKZ,0.65,1.48
160,OXLCP,1.92,5.17
161,GIW,5.1,
162,CTA,5.03,
163,CLIM,1.19,2.27
164,BSGA,4.28,486.51
165,APCA,1.23,3.12
166,MBTC,2.54,7.42
167,INAQ,0.5,0.79
168,PEPL,0.99,1.59
169,GATE,1.7,3.56
170,LAX,2.32,5.77
171,LAAAU,0.44,0.88
172,GACQ,11.2,
173,GXII,0.49,0.89
174,BITE,0.46,0.77
175,LJAQ,1.64,2.77
176,CTAQ,1.5,2.85
177,IRRX,2.1,5.44
178,MAAQ,3.61,
179,TZPS,1.19,1.97
180,TLGA,0.61,1.08
181,PHIC,0.85,1.23
182,EPHY,0.72,1.37
183,GRRR,1.07,5.72
184,APXI,1.99,4.98
185,BCSA,1.98,4.56
186,CPII,3.68,
187,BWAQ,1.1,2.39
188,POW,1.05,2.15
189,KIII,1.44,2.43
190,AAC,1.91,5.14
191,SHQA,2.17,6.4
192,SCOA,2.87,11.82
193,PGRW,2.28,6.12
194,NGC,0.43,0.66
195,DXR,4.06,22.7
196,AHPAU,0.69,1.31
197,PFRL,10.02,
198,PGSS,2.04,5.84
199,WWAC,1.12,2.21
200,DECA,3.36,
201,BLNG,1.4,3.1
202,EDNC,1.64,3.65
203,STRE,0.98,1.78
204,RCFA,1.72,3.34
205,BMAQ,2.22,7.41
206,IIII,1.22,2.14
207,IXAQ,0.92,2.11
208,PUCK,0.95,1.71
209,SWSS,0.99,2.7
210,SCCC,1.84,3.1
211,KAII,0.79,1.33
212,VCXB,2.1,4.67
213,DSAQ,1.21,2.83
214,FVT,0.69,2.04
215,DHAC,3.15,11.67
216,ACQR,1.32,2.9
217,XOMAP,1.29,3.01
218,IOAC,2.55,5.73
219,ARCK,1.32,2.63
220,FMIV,0.48,1.06
221,LGAC,1.18,2.28
222,NIMC,0.61,1.17
223,PLAO,7.95,
224,XFIN,0.4,0.88
225,ZWRK,0.74,1.29
226,FLYU,2.47,
227,USCT,1.12,2.17
228,BRKH,1.55,3.77
229,CCAI,0.43,0.83
230,TETE,1.87,3.99
231,OSTR,0.53,0.85
232,TWNI,1.16,2.09
233,ORIA,0.86,1.68
234,HMA,0.91,2.59
235,LANDO,1.71,3.73
236,CLAS,2.46,5.88
237,JMAC,1.67,3.53
238,MCAG,1.49,3.26
239,GAMC,0.82,1.6
240,EDTX,1.57,2.82
241,PDOT,1.56,3.29
242,EVOJ,0.82,1.89
243,PONO,5.34,
244,GNAC,0.66,1.14
245,ONYX,1.44,2.94
246,CLRC,19.7,
247,HAAC,2.68,21.74
248,ROSS,0.58,0.97
249,GECCO,0.5,0.8
250,BACA,1.43,2.98
251,ATA,2.48,8.35
252,JAQC,0.43,0.79
253,GDNR,1.8,6.5
254,MCAA,1.28,2.38
255,ISAA,0.65,1.06
256,DKDCA,3.34,14.02
257,HHLA,1.31,2.62
258,AXH,2.1,12.9
259,SLAM,1.45,3.05
260,BOCN,1.94,8.2
261,PAFO,1.52,3.63
262,DRAY,0.83,1.57
263,VAQC,0.42,0.62
264,VSAC,1.35,2.78
265,MTVC,1.44,4.86
266,PSAG,0.84,2.49
267,DPCS,1.39,4.75
268,EBAC,1.0,1.81
269,ITQ,1.02,1.96
270,GIAC,0.76,1.48
271,ACII,0.57,1.61
272,CENQ,1.55,3.63
273,CCNEP,1.19,1.66
274,FZT,0.49,1.03
275,ROC,2.3,6.44
276,APAC,1.73,5.11
277,CLAY,2.07,7.01
278,NBST,0.52,0.98
279,NOVV,2.88,12.22
280,VII,2.38,7.31
281,GLLI,1.01,1.7
282,TGVC,1.06,2.36
283,DNZ,0.65,1.11
284,ICNC,0.76,1.16
285,COOL,1.18,1.84
286,TWOA,0.73,1.16
287,SSBK,2.17,9.81
288,MEAC,0.84,1.59
289,ADAL,1.89,5.5
290,TBSA,0.49,0.7
291,LEGA,0.51,0.72
292,ENTF,1.01,1.82
293,ENCP,2.99,8.44
294,FLME,0.68,1.1
295,GPAC,2.4,6.96
296,OKYO,5.53,
297,TFSA,0.47,0.86
298,DHHC,1.1,2.31
299,HHGC,1.52,3.46
300,FINM,1.46,2.8
301,PCPC,1.29,2.21
302,AACI,0.93,1.59
303,STET,1.75,3.66
304,JWAC,1.64,3.73
305,CSTA,1.3,2.27
306,XOMAO,0.42,0.87
307,ENER,0.99,1.77
308,CNTQU,0.69,1.43
309,EPWR,1.24,2.87
310,MSAC,0.75,1.17
311,CREC,3.09,12.6
312,IFIN,3.2,19.61
313,KSI,0.95,1.93
314,ASCA,1.2,2.55
315,ACAQ,1.6,3.71
316,HCII,0.44,0.63
317,FHLTU,0.55,1.03
318,RMGC,0.83,1.28
319,TRAQ,1.58,3.8
320,VCKAU,0.65,1.4
321,PRSR,2.85,8.15
322,RRAC,1.3,1.94
323,CITE,1.57,8.65
324,ALSA,3.36,11.01
325,CFFE,2.69,9.2
326,SPGS,0.87,1.53
327,BNNR,0.65,1.02
328,ESM,1.73,4.69
329,FRXB,0.48,0.83
330,UPTD,1.49,3.49
331,CLOI,2.93,
332,GFX,1.79,3.46
333,OXUS,0.52,1.0
334,SCMA,2.09,8.58
335,FEXD,7.44,
336,GIA,3.52,11.64
337,SVNA,1.11,2.38
338,SSAA,0.63,1.18
339,FTVI,0.77,1.68
340,SJIV,1.1,7.19
341,JCIC,1.36,2.55
342,CRZN,0.52,0.72
343,ADRA,1.18,2.2
344,VTIQ,0.83,1.78
345,HCIC,0.7,1.28
346,JATT,0.92,1.47
347,TGAA,1.42,2.84
348,REVE,0.88,1.65
349,ASPA,2.41,6.23
350,WPCB,0.57,0.98
351,WAVC,0.41,0.65
352,WTMA,1.8,4.88
353,LVRA,0.53,1.34
354,INKA,2.4,5.85
355,TRIS,0.67,1.39
356,LGVC,2.23,4.48
357,FSSI,1.02,2.16
358,DAOO,2.84,12.73
359,ANZU,0.41,0.62
360,DMAQ,1.83,5.87
361,DUET,0.65,1.04
362,BFAC,1.61,4.49
363,SHCA,1.41,6.7
364,DRAYU,0.64,1.27
365,APN,1.22,2.37
366,KCGI,0.96,2.02
367,KVSA,0.61,1.26
368,WNNR,0.97,3.48
369,SANB,3.89,9.8
370,CLBR,0.54,1.01
371,AAQC,0.47,0.92
372,NSTB,1.74,3.43
373,KRNL,0.98,1.82
374,DWIN,2.31,6.77
375,MURF,0.98,1.99
376,GGAA,4.2,
377,MBSC,1.18,2.67
378,LVAC,0.83,1.42
379,ACDI,2.0,4.4
380,ACAB,1.0,2.81
381,ALPA,0.45,0.82
382,OMEG,0.86,1.41
383,NLIT,2.08,44.0
384,AEAE,0.44,1.1
385,SWET,0.78,1.28
386,SMAP,1.3,2.24
387,NCAC,2.38,6.86
388,WRAC,2.73,5.02
389,LMAO,1.43,3.45
390,DILA,1.08,1.85
391,CNTQ,2.68,22.57
392,FLYA,1.14,2.21
393,GMFI,0.89,1.91
394,GVCI,2.49,8.76
395,CPUH,0.57,0.9
396,BMAC,1.36,2.38
397,MON,1.33,2.66
398,EAC,0.52,0.85
399,CSSEN,1.35,3.01
400,FHLT,1.55,4.82
401,SDAC,0.42,0.65
402,IPVI,0.7,1.05
403,ARIZ,0.86,1.55
404,AEAC,1.01,1.63
405,METCL,0.43,0.66
406,NRAC,1.69,4.27
407,TRON,2.29,11.11
408,GOGN,2.54,10.41
409,SHUAU,0.53,0.84
